date,url,lang,polarity,magnitude,score,name,type,mid,wikipediaUrl,numMentions,avgSalience,coordinates,row_number
4/8/2020 17:04:05,https://www.volksstimme.de/deutschland-welt/wirtschaft/corona-krise-samsung-rechnet-mit-gewinnanstieg,de,0,4.3,-0.3,China,LOCATION,/m/0d05w3,https://en.wikipedia.org/wiki/China,1,0.000882,"25.05706,118.18203",1
4/8/2020 21:04:05,"http://www.dtoday.de/startseite/wirtschaft_artikel,-Airbus-faehrt-Flugzeugproduktion-um-ein-Drittel-zurueck-_arid,720244.html",de,0,3.5,-0.3,Paris,LOCATION,/m/05qtj,https://en.wikipedia.org/wiki/Paris,1,0.014266,"35.29203,-93.72992",1
4/8/2020 19:04:16,https://www.stuttgarter-zeitung.de/inhalt.bund-und-laender-einig-das-steht-in-den-neuen-quarantaene-regeln-und-im-bussgeldkatalog.69123761-7654-4266-9d0c-a9c3733c1ac3.html,de,0,7.3,-0.3,Berlin,LOCATION,/m/0156q,https://en.wikipedia.org/wiki/Berlin,1,0.002903,"39.79123,-74.92905",1
4/8/2020 11:18:39,https://www.tagesanzeiger.ch/so-baut-man-in-zwei-wochen-ein-corona-gefaengnis-auf-420094855357,de,0,2.3,-0.3,Horgen,LOCATION,/m/03g0d9,https://en.wikipedia.org/wiki/Horgen,1,0.003424,"47.25983,8.59778",1
4/8/2020 15:48:32,https://www.t-online.de/region/id_87677430/drei-verletzte-nach-wendeversuch-auf-der-autobahn.html,de,0,3.5,-0.5,Lindau,LOCATION,/m/01jq_7,https://en.wikipedia.org/wiki/Lindau,1,0.002331,"52.03751,12.10788",1
4/8/2020 9:34:18,https://www.sn.at/politik/weltpolitik/am-coronavirus-erkranktem-boris-johnson-geht-es-besser-85968967,de,0,4.5,-0.3,London,LOCATION,/m/04jpl,https://en.wikipedia.org/wiki/London,1,0.051733,"51.50853,-0.12574",1
4/8/2020 23:16:57,https://apps.derstandard.at/privacywall/story/2000116627199/wie-johnsons-erkrankung-den-machtkampf-bei-seinen-tories-entfacht,de,0,2,-0.5,London,LOCATION,/m/04jpl,https://en.wikipedia.org/wiki/London,1,0.033434,"42.98339,-81.23304",1
4/8/2020 12:17:26,https://www.pressetext.com/news/20200408018,de,0,13.5,-0.3,London,LOCATION,/m/04jpl,https://en.wikipedia.org/wiki/London,1,0.000108,"37.12898,-84.08326",1
4/8/2020 7:50:42,https://www.deraktionaer.de/artikel/aktien/commerzbank-das-wird-2020-nichts-mehr-20199589.html,de,0,12.5,-0.3,Polen,LOCATION,/m/05qhw,https://en.wikipedia.org/wiki/Poland,1,0.001237,"-9.687,124.4804",1
4/8/2020 17:18:22,https://www.vol.at/bregenz-fahrradfahrer-erlitt-toedlichen-herzinfarkt/6582603,de,0,2.4,-0.3,Bregenz,LOCATION,/m/0135s7,https://en.wikipedia.org/wiki/Bregenz,1,0.070472,"47.50311,9.7471",1
4/8/2020 11:35:13,https://www.die-glocke.de/blickindiewelt/nrw/Galopper-wollen-am-1-Mai-ohne-Zuschauer-wieder-starten-f4cbb4e7-dd38-4f86-aaad-6a71863863a2-ds,de,0,3.6,-0.5,Köln,LOCATION,/m/01v8c,https://en.wikipedia.org/wiki/Cologne,1,0.032347,"50.93333,6.95",1
